_id,inboundDate,noRoute,outboundDate,price
646901b442e1f7312f965c6b,null,null,2023-05-22,6996
646901b442e1f7312f965c6c,null,null,2023-05-23,5799
646901b442e1f7312f965c6d,null,null,2023-05-24,5775
646901b442e1f7312f965c6e,null,null,2023-05-25,6405
646901b442e1f7312f965c6f,null,null,2023-05-26,5073
646901b442e1f7312f965c70,null,null,2023-05-27,6405
646901b442e1f7312f965c71,null,null,2023-05-28,5799
646901b442e1f7312f965c72,null,null,2023-05-29,5145
646901b442e1f7312f965c73,null,null,2023-05-30,4689
646901b442e1f7312f965c74,null,null,2023-05-31,4689
646901b442e1f7312f965c75,null,null,2023-06-01,5799
646901b442e1f7312f965c76,null,null,2023-06-02,6299
646901b442e1f7312f965c77,null,null,2023-06-03,6799
646901b442e1f7312f965c78,null,null,2023-06-04,5073
646901b442e1f7312f965c79,null,null,2023-06-05,6799
646901b442e1f7312f965c7a,null,null,2023-06-06,5775
646901b442e1f7312f965c7b,null,null,2023-06-07,6299
646901b442e1f7312f965c7c,null,null,2023-06-08,5775
646901b442e1f7312f965c7d,null,null,2023-06-09,6405
646901b442e1f7312f965c7e,null,null,2023-06-10,7036
646901b442e1f7312f965c7f,null,null,2023-06-11,6996
646901b442e1f7312f965c80,null,null,2023-06-12,6799
646901b442e1f7312f965c81,null,null,2023-06-13,6996
646901b442e1f7312f965c82,null,null,2023-06-14,8099
646901b442e1f7312f965c83,null,null,2023-06-15,7876
646901b442e1f7312f965c84,null,null,2023-06-16,8717
646901b442e1f7312f965c85,null,null,2023-06-17,8111
646901b442e1f7312f965c86,null,null,2023-06-18,6996
646901b442e1f7312f965c87,null,null,2023-06-19,8717
646901b442e1f7312f965c88,null,null,2023-06-20,6996
646901b442e1f7312f965c89,null,null,2023-06-21,9180
646901b442e1f7312f965c8a,null,null,2023-06-22,9811
646901b442e1f7312f965c8b,null,null,2023-06-23,8754
646901b442e1f7312f965c8c,null,null,2023-06-24,8111
646901b442e1f7312f965c8d,null,null,2023-06-25,8811
646901b442e1f7312f965c8e,null,null,2023-06-26,8717
646901b442e1f7312f965c8f,null,null,2023-06-27,7876
646901b442e1f7312f965c90,null,null,2023-06-28,8095
646901b442e1f7312f965c91,null,null,2023-06-29,4799
646901b442e1f7312f965c92,null,null,2023-06-30,8765
646901b442e1f7312f965c93,null,null,2023-07-01,9811
646901b442e1f7312f965c94,null,null,2023-07-02,7876
646901b442e1f7312f965c95,null,null,2023-07-03,7534
646901b442e1f7312f965c96,null,null,2023-07-04,7056
646901b442e1f7312f965c97,null,null,2023-07-05,7534
646901b442e1f7312f965c98,null,null,2023-07-06,4799
646901b442e1f7312f965c99,null,null,2023-07-07,7534
646901b442e1f7312f965c9a,null,null,2023-07-08,7534
646901b442e1f7312f965c9b,null,null,2023-07-09,7534
646901b442e1f7312f965c9c,null,null,2023-07-10,7534
646901b442e1f7312f965c9d,null,null,2023-07-11,4749
646901b442e1f7312f965c9e,null,null,2023-07-12,6838
646901b442e1f7312f965c9f,null,null,2023-07-13,6838
646901b442e1f7312f965ca0,null,null,2023-07-14,6277
646901b442e1f7312f965ca1,null,null,2023-07-15,6838
646901b442e1f7312f965ca2,null,null,2023-07-16,8409
646901b442e1f7312f965ca3,null,null,2023-07-17,7876
646901b442e1f7312f965ca4,null,null,2023-07-18,6325
646901b442e1f7312f965ca5,null,null,2023-07-19,7056
646901b442e1f7312f965ca6,null,null,2023-07-20,6838
646901b442e1f7312f965ca7,null,null,2023-07-21,7876
646901b442e1f7312f965ca8,null,null,2023-07-22,9456
646901b442e1f7312f965ca9,null,null,2023-07-23,7036
646901b442e1f7312f965caa,null,null,2023-07-24,7876
646901b442e1f7312f965cab,null,null,2023-07-25,8099
646901b442e1f7312f965cac,null,null,2023-07-26,7399
646901b442e1f7312f965cad,null,null,2023-07-27,7399
646901b442e1f7312f965cae,null,null,2023-07-28,5775
646901b442e1f7312f965caf,null,null,2023-07-29,8099
646901b442e1f7312f965cb0,null,null,2023-07-30,7036
646901b442e1f7312f965cb1,null,null,2023-07-31,6147
646901b442e1f7312f965cb2,null,null,2023-08-01,7399
646901b442e1f7312f965cb3,null,null,2023-08-03,6405
646901b442e1f7312f965cb4,null,null,2023-08-04,5775
646901b442e1f7312f965cb5,null,null,2023-08-05,7399
646901b442e1f7312f965cb6,null,null,2023-08-06,6405
646901b442e1f7312f965cb7,null,null,2023-08-07,7035
646901b442e1f7312f965cb8,null,null,2023-08-08,5775
646901b442e1f7312f965cb9,null,null,2023-08-09,5775
646901b442e1f7312f965cba,null,null,2023-08-10,5775
646901b442e1f7312f965cbb,null,null,2023-08-11,6799
646901b442e1f7312f965cbc,null,null,2023-08-12,7399
646901b442e1f7312f965cbd,null,null,2023-08-13,7175
646901b442e1f7312f965cbe,null,null,2023-08-14,6147
646901b442e1f7312f965cbf,null,null,2023-08-15,6799
646901b442e1f7312f965cc0,null,null,2023-08-16,7056
646901b442e1f7312f965cc1,null,null,2023-08-17,7035
646901b442e1f7312f965cc2,null,null,2023-08-18,7175
